run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
92,.01524,.0158845,-.0004242,-.000631,.0000139,.0000205,-7.20e-09,-8.46e-09
93,.00245,.0185977,-.0000717,-.0006558,.0000191,.0000354,-7.01e-09,-7.56e-09
94,.0058747,.0296483,-.0001966,-.0007642,.0000391,.0000218,-7.09e-09,-6.69e-09
95,.0161494,.0470733,-.0008666,-.0011721,-2.34e-06,.0000342,-1.02e-09,-7.81e-09
96,.0103052,.0119788,-.0004505,-.0004668,2.57e-06,.0000209,-1.43e-09,-5.37e-09
97,.0053063,.030943,-.0002441,-.0007412,.0000101,.0000352,-1.84e-09,-9.84e-09
98,.0041591,.0311658,-.0003156,-.0008378,-.0000229,.000027,6.67e-09,-7.37e-09
99,.0133534,-.0046855,-.0006233,-.0003384,-.0000176,9.19e-06,3.59e-09,-3.62e-09
100,.0085785,.011378,-.000439,-.0005359,6.56e-06,.0000257,2.66e-09,-5.31e-09
101,.0229575,.0496505,-.0007425,-.0014857,4.90e-06,5.39e-06,-3.79e-09,-2.88e-09
102,.0042859,.0807653,-.0000432,-.0019466,.000032,.0000125,-1.04e-08,-5.19e-09
103,.0198073,.0291695,-.0008048,-.000764,-.0000198,.000017,2.81e-10,-6.62e-09
104,.0060821,.0557612,-.0001467,-.0015532,1.44e-07,.0000185,-2.80e-09,-6.36e-09
105,.006284,.0099063,-.000187,-.0005572,4.60e-06,.0000375,-3.74e-09,-9.82e-09
106,.0072131,.0501167,-.0002156,-.0013256,-8.03e-06,.0000104,4.09e-10,-4.77e-09
107,.0112022,.0140153,-.0004423,-.0004905,.0000171,.0000196,-2.38e-09,-6.71e-09
108,.010788,.0555249,-.0004081,-.0015865,-.0000135,-.0000233,7.16e-09,5.73e-09
109,.0147768,.0292456,-.0004709,-.0008983,.0000103,.000012,1.49e-10,-1.74e-09
110,.0103325,.0035358,-.0002269,-.0003595,-.0000219,.0000201,1.99e-09,-7.68e-09
111,.0027655,.0380871,-.0000701,-.0010986,8.78e-06,6.58e-06,-3.41e-09,-3.11e-09
112,.0086403,.0433152,-.0003161,-.0012042,2.14e-06,.000028,-2.18e-09,-8.92e-09
113,.0080513,.0346559,-.0002855,-.0011893,2.74e-06,.0000125,1.20e-11,-3.40e-09
114,.0095597,.0103545,-.0004506,-.0003622,4.32e-06,.0000339,-1.42e-09,-1.07e-08
115,.015279,.0364571,-.0005745,-.0009795,8.59e-07,.000023,2.71e-09,-9.80e-09
116,.0110558,-.0044232,-.0006331,-.0001659,-9.03e-07,.0000175,-1.88e-09,-6.09e-09
117,.0113863,.0157519,-.0003579,-.000438,.0000206,.0000572,-8.84e-09,-1.37e-08
118,.0076892,.031213,-.0003008,-.0009775,3.84e-06,-5.07e-08,-3.20e-10,-8.41e-10
119,.0084776,.0455992,-.0002327,-.0012686,.0000102,-.0000114,-1.92e-09,1.62e-09
120,.003933,.0364898,-.000219,-.0008859,6.63e-06,.0000145,1.50e-09,-5.20e-09
121,.0081383,.0474038,-.0004007,-.0011408,.0000164,.0000273,-4.19e-09,-7.93e-09
122,.0123977,.0416839,-.0004812,-.0011424,5.44e-06,8.46e-06,-9.11e-10,-5.07e-09
123,.0153866,.0252285,-.0003627,-.0008064,.0000215,.0000316,-4.61e-09,-1.00e-08
124,.0044757,.0181856,-.0001691,-.0005344,.0000312,.000049,-1.22e-08,-1.42e-08
125,.0111499,.0198556,-.000477,-.0007683,.000016,.0000442,-6.20e-09,-1.15e-08
126,.0051776,.0183254,-.0000716,-.0007103,6.33e-06,.0000279,-5.80e-10,-4.81e-09
127,.0076411,.0148958,-.0001262,-.0005558,-3.21e-06,9.34e-06,-5.74e-10,-3.92e-09
128,.0156576,.0344608,-.0006427,-.0011304,1.71e-06,.0000141,6.81e-10,-5.89e-09
129,.0111919,.021156,-.0003627,-.000734,.0000105,.0000629,-1.48e-09,-1.40e-08
130,.0088059,-.0013033,-.0003357,-.0001073,-8.27e-06,.000029,5.78e-10,-1.01e-08
131,.0083409,-.0067888,-.0004046,-.0000392,.0000172,.000012,-6.05e-09,-3.53e-09
132,.0107781,.0153112,-.0002745,-.0005995,.0000163,.0000221,-6.79e-09,-6.57e-09
133,.0089174,.0133076,-.0002036,-.000581,-8.86e-06,.0000222,-7.55e-10,-7.17e-09
134,.0062044,-.0012088,-.0003131,-.0001995,.0000161,.0000245,-2.22e-09,-8.99e-09
135,.0046597,.0199597,-.0001594,-.0008245,.0000122,.0000369,-4.62e-09,-1.07e-08
136,.0033963,-.0031754,-.0000842,-.0002044,3.60e-06,.0000272,-3.17e-09,-8.61e-09
137,.0116021,.0034722,-.0004474,-.0004141,-.0000341,.000084,7.90e-09,-2.03e-08
138,.0094145,.0214374,-.0004081,-.0005636,.0000249,.0000153,-7.89e-09,-4.50e-09
139,.0105391,.0185361,-.0003653,-.0006275,.0000232,.0000317,-5.66e-09,-8.49e-09
140,.0049675,.0157395,-.0001569,-.0006099,-.0000233,.0000363,8.03e-09,-8.94e-09
141,.002796,.0405061,.0000209,-.0011494,.0000293,.0000385,-4.47e-09,-9.13e-09
142,.0080958,.027019,-.0000633,-.0007998,.0000155,.0000228,-9.25e-10,-8.43e-09
