run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
735,.0073325,-.0099895,-.0088037,-.0057325,.0009796,-.0380145,-.0111597,.0046146,-.0005894,-.0073353,.0048221,.0004512,-.000383,-.0000222,.0003886,.0002881,-.0001224,.0006448,.0004235,-.0002718,.0000824,.0002714,-.0001834,.0001008,-.0074187,-.056006,.0002057,.001011
736,.0015163,-.0059869,-.0102138,.0005173,-.0113528,-.0301553,-.0022497,.0049041,-.0024491,-.006012,.0077875,.0038835,-.000132,-.0002439,.0003229,.0001034,.0004215,.0005236,-.0001154,-.0001911,.0000803,.0002663,-.0002924,-.0002001,-.0169616,-.0328492,.0002849,.0002582
737,.0139539,.0101769,-.0105486,-.0003535,-.0182029,-.033245,-.0083535,-.003255,.0005516,-.0001743,.0196322,.0090073,-.0004718,-.0004405,.0003654,.0000816,.0005546,.0004858,.0001223,.0000135,.000135,.0000604,-.0006368,-.0002957,-.0029672,-.0178437,.0000687,-.000095
738,.0174842,-.0007546,-.0040969,.0093493,-.0011667,-.033098,-.0013704,-.0087586,-.000104,-.0079376,.0011393,.0182644,-.0006349,-.0003413,.0002598,2.04e-06,.0000428,.0007752,-.0001079,.0000948,.0001141,.000439,.0000335,-.0004447,.0118855,-.0229351,-.0002927,.000525
739,.0082549,-.0029913,-.0037394,.0051255,-.0065941,-.0367515,-.0065014,.002564,.0039994,-.0039808,.0119776,.0157779,-.0003805,-.0003498,.0002075,-.0000276,.0000527,.0005603,.0001682,-.0002062,-.0001096,.0004335,-.0002896,-.000443,.0073972,-.0202561,-.0003513,-.0000329
740,.0098119,-.0042466,-.00943,-.0012881,-.001781,-.0234997,-.0009624,.0006486,-.0016359,-.0072046,.0036379,.0120121,-.0005438,-.000251,.0004118,.0001809,.0001195,.0004601,-.0001242,-.0001866,-.0000138,.0004052,.0000407,-.0002729,-.0003595,-.0235783,-.0001097,.0003356
741,.0044583,.0624877,-.0066298,.0288941,-.0036422,-.0208434,-.0057221,-.019867,-.005529,-.0085757,.0110344,.0038054,-.0002801,-.0015535,.0003117,-.0003985,.0000734,.000443,.00005,.0003069,.0003045,.0003245,-.0004335,-.0001994,-.0060304,.0459011,.000026,-.0010769
742,.006465,.0304298,-.0073666,-.0296684,-.0078803,.031824,-.0061502,-.0067678,-.0027952,.0081498,.0015818,.0070272,-.0002211,-.0009286,.0002417,.0007033,.0003266,-.0006966,.0002178,-.0000923,.0000412,-.0000595,.000074,-.000169,-.0161454,.0409947,.0006803,-.0012427
743,-.0003365,-.0125258,-.0140928,.0001594,-.013697,-.045104,-.0092725,.0017825,-.0027685,-.0141556,.0151467,.011051,-.000039,-.0000638,.0003614,.0000632,.000266,.0008348,.000181,-.0001798,.0000412,.0004801,-.0005067,-.0004134,-.0250205,-.0587925,.000304,.000721
744,.0084341,-.0161132,-.0086195,.0006606,-.0049612,-.0367661,.0021164,.0066698,-.000645,-.0031286,.0044007,.0020298,-.0003857,.0002196,.0004706,.0002124,.0002102,.0007069,-.000275,-.0002967,.0002541,.0002426,-.0002375,-.0001784,.0007255,-.0466477,.0000367,.0009063
